Period End,Islamabad,Rawalpindi,Gujranwala,Sialkot,Lahore,Faisalabad,Sargodha,Multan,Bahawalpur,Karachi,Hyderabad,Sukkur,Larkana,Peshawar,Bannu,Quetta,Khuzdar,Pakistan
Weekly,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR ,PKR 
09-Mar-2023,267.770000,267.730000,267.800000,267.930000,267.800000,267.700000,268.020000,267.780000,268.230000,267.770000,268.870000,267.750000,268.100000,267.750000,268.950000,267.700000,267.750000,267.960000
02-Mar-2023,267.770000,267.730000,267.800000,267.930000,267.800000,267.700000,268.020000,267.780000,268.230000,267.770000,268.870000,267.750000,268.100000,267.750000,268.950000,267.700000,267.750000,267.960000
23-Feb-2023,272.750000,272.710000,272.700000,272.850000,272.710000,272.700000,272.990000,272.760000,273.130000,272.750000,273.780000,272.740000,273.100000,272.720000,272.750000,272.700000,272.740000,272.860000
16-Feb-2023,272.750000,272.710000,272.700000,272.850000,272.710000,272.700000,272.990000,272.760000,273.130000,272.750000,273.780000,272.740000,273.100000,272.720000,272.750000,272.700000,272.740000,272.860000
09-Feb-2023,250.500000,250.500000,250.600000,251.150000,250.500000,250.500000,250.740000,250.550000,250.910000,250.500000,251.600000,250.650000,250.600000,250.500000,251.750000,250.500000,250.500000,250.740000
02-Feb-2023,250.500000,250.500000,250.600000,251.150000,250.500000,250.500000,250.740000,250.550000,250.910000,250.500000,251.600000,250.650000,250.600000,250.500000,251.750000,250.500000,250.500000,250.740000
26-Jan-2023,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
19-Jan-2023,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
12-Jan-2023,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
05-Jan-2023,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
29-Dec-2022,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
22-Dec-2022,215.510000,215.510000,215.600000,216.160000,215.510000,215.500000,215.740000,215.580000,215.920000,215.510000,216.490000,215.510000,215.800000,215.460000,216.750000,215.500000,215.510000,215.740000
15-Dec-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
08-Dec-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
01-Dec-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
24-Nov-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
17-Nov-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
10-Nov-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
03-Nov-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
27-Oct-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
20-Oct-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
13-Oct-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
06-Oct-2022,225.530000,225.530000,225.600000,226.180000,225.530000,225.500000,225.760000,225.580000,225.940000,225.550000,226.740000,225.700000,225.800000,225.600000,226.750000,225.500000,225.530000,225.780000
29-Sep-2022,238.160000,238.140000,238.200000,238.800000,238.160000,238.100000,238.390000,238.210000,238.640000,238.160000,239.240000,238.600000,238.950000,238.160000,238.740000,237.960000,238.160000,238.400000
22-Sep-2022,238.160000,238.140000,238.200000,238.800000,238.160000,238.100000,238.390000,238.210000,238.640000,238.160000,239.240000,238.600000,238.950000,238.160000,238.740000,237.960000,238.160000,238.400000
15-Sep-2022,236.700000,236.680000,236.700000,237.360000,236.770000,236.700000,236.940000,236.750000,237.120000,236.710000,237.820000,236.700000,237,236.700000,238.740000,236.510000,236.710000,236.980000
08-Sep-2022,236.700000,236.680000,236.700000,237.360000,236.770000,236.700000,236.940000,236.750000,237.120000,236.710000,237.820000,236.700000,237,236.700000,238.740000,236.510000,236.710000,236.980000
01-Sep-2022,236.700000,236.680000,236.700000,237.360000,236.770000,236.700000,236.940000,236.750000,237.120000,236.710000,237.820000,236.700000,237,236.700000,238.740000,236.510000,236.710000,236.980000
25-Aug-2022,234.630000,234.590000,234.700000,235.270000,234.630000,234.600000,235.400000,234.610000,235.030000,234.630000,235.670000,234.700000,234.900000,234.630000,236.670000,234.440000,234.630000,234.920000
18-Aug-2022,234.630000,234.590000,234.700000,235.270000,234.630000,234.600000,235.400000,234.610000,235.030000,234.630000,235.670000,234.700000,234.900000,234.630000,236.670000,234.440000,234.630000,234.920000
11-Aug-2022,227.860000,227.850000,227.900000,228.490000,227.900000,227.800000,228.600000,227.870000,228.240000,227.870000,228.960000,227.860000,228.200000,227.860000,229.950000,227.720000,227.860000,228.160000
04-Aug-2022,227.860000,227.850000,227.900000,228.490000,227.900000,227.800000,228.600000,227.870000,228.240000,227.870000,228.960000,227.860000,228.200000,227.860000,229.950000,227.720000,227.860000,228.160000
28-Jul-2022,230.880000,230.860000,230.900000,230.900000,230.900000,230.950000,231.400000,231.010000,231.280000,230.910000,232.030000,230.880000,230.900000,230.900000,233,230.770000,230.890000,231.140000
21-Jul-2022,230.880000,230.860000,230.900000,230.900000,230.900000,230.950000,231.400000,231.010000,231.280000,230.910000,232.030000,230.880000,230.900000,230.900000,233,230.770000,230.890000,231.140000
14-Jul-2022,249.350000,249.290000,249.400000,249.820000,249.500000,249.300000,249.900000,249.380000,249.620000,249.390000,250.300000,249.380000,249.600000,249.380000,251.500000,249.270000,249.390000,249.630000
06-Jul-2022,249.350000,249.290000,249.400000,249.820000,249.500000,249.300000,249.900000,249.380000,249.620000,249.390000,250.300000,249.380000,249.600000,249.380000,251.500000,249.270000,249.390000,249.630000
30-Jun-2022,234.450000,234.420000,234.500000,235.070000,234.530000,234.400000,234.600000,234.420000,234.730000,234.460000,235.340000,234.410000,234.900000,234.400000,236.620000,234.420000,234.450000,234.710000
23-Jun-2022,234.450000,234.420000,234.500000,235.070000,234.530000,234.400000,234.600000,234.420000,234.730000,234.460000,235.340000,234.410000,234.900000,234.400000,236.620000,234.420000,234.450000,234.710000
16-Jun-2022,234.450000,234.420000,234.500000,235.070000,234.530000,234.400000,234.600000,234.420000,234.730000,234.460000,235.340000,234.410000,234.900000,234.400000,236.620000,234.420000,234.450000,234.710000
09-Jun-2022,210.380000,210.360000,210.400000,210.990000,210.300000,210.300000,210.550000,210.390000,210.720000,210.390000,211.240000,210.370000,210.600000,210.380000,212.620000,210.390000,210.380000,210.630000
02-Jun-2022,180.380000,180.360000,180.400000,180.600000,180.380000,180.300000,180.550000,180.380000,180.650000,180.390000,181.320000,180.390000,180.600000,180.380000,182.620000,180.390000,180.380000,180.620000
26-May-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
19-May-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
12-May-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
28-Apr-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
21-Apr-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
14-Apr-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
07-Apr-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
31-Mar-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
24-Mar-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
17-Mar-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
10-Mar-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
03-Mar-2022,150.350000,150.360000,150.400000,150.950000,150.600000,150.350000,150.500000,150.380000,150.630000,150.360000,151.190000,150.350000,150.600000,150.350000,152.620000,150.390000,150.360000,150.630000
24-Feb-2022,160.340000,160.340000,160.400000,160.940000,160.600000,160.380000,160.500000,160.380000,160.620000,160.350000,161.090000,160.350000,160.800000,160.340000,162.620000,160.390000,160.340000,160.630000
17-Feb-2022,160.340000,160.340000,160.400000,160.940000,160.600000,160.380000,160.500000,160.380000,160.620000,160.350000,161.090000,160.350000,160.800000,160.340000,162.620000,160.390000,160.340000,160.630000
10-Feb-2022,148.310000,148.310000,148.310000,148.910000,148.300000,148.300000,148.470000,148.360000,148.590000,148.320000,149.070000,148.320000,148.500000,148.310000,150.590000,148.360000,148.310000,148.570000
03-Feb-2022,148.310000,148.310000,148.310000,148.910000,148.300000,148.300000,148.470000,148.360000,148.590000,148.320000,149.070000,148.320000,148.500000,148.310000,150.590000,148.360000,148.310000,148.570000
